accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
Percentage accuracy: 0.84794
